Index	Name	Description	File Name	Quantity
1	Järnbeslag		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
2	Fast_långbräda_N		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
3	Fast_långbräda_U		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
4	Lös_långbräda_U		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
5	Lös_långbräda_N		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
6	Bussning		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	40
7	1/4inx22.225-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	8
8	#8x1 1/4in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	4
9	#8x1in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	4
10	#8x1 1/2in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	12
11	Bricka_7x16		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	8
12	Assembly		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6_Subass_Kortsida_L.FCStd	1
12.1	Gängat inlägg		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	2
12.2	Liggande_U		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
12.3	Standing_tapped_L		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
12.4	Standing_R		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
12.5	Liggande_N		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
12.6	#8x2in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	2
12.7	#8x1 1/4in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	6
12.8	#8x1 1/2in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	2
13	Assembly		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6_Subass_Kortsida_R.FCStd	1
13.1	Gängat inlägg		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	2
13.2	Liggande_U		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
13.3	Standing_tapped_R		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
13.4	Standing_L		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
13.5	Liggande_N		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
13.6	#8x2in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	2
13.7	#8x1 1/2in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	2
13.8	#8x1 1/4in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	6
13.9	klack		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	1
13.10	#8x2 3/4in-Screw		D:/Ritningar/SkJ/Fordon/Batterilåda_Y6/Batterilåda_Y6.FCStd	3
